record_id,country,country_iso3,entity_name,entity_type,inclusion_status,counts_as_distinct_active_location,verification_status,confidence,operational_status,city,province_or_wilaya,physical_address,latitude,longitude,google_business_name,google_business_url,google_business_check,yelp_url,yelp_check,official_website,booking_url,phone,email,instagram,facebook,linkedin,other_social,courts_reported,court_detail,federation_affiliation,league_or_competition_information,services_or_activities,opening_hours,description,primary_source_url,secondary_source_url,additional_source_url,source_types,last_verified_utc,data_conflicts,duplicate_or_exclusion_reason,research_notes
ALG-ORG-001,Algeria,DZA,Algerian Federation of Sport for All,Federation,included,No,Official international-federation listing,High,Active,Algiers,Algiers,"Centre des fédérations sportives, near ES/STS de Dely Brahim, Algiers 16000",,,,,Official FIP member record checked; separate Google listing not required,,No verified Yelp listing found; Yelp coverage in Algeria is limited,,,+213 23 25 82 16,padelalgeriedz@gmail.com,,,,,,National governing/affiliated body; not a court venue,FIP member since 2025,President: Mossab Elhadi; federation contact and national padel administration,Sport-for-all and padel administration,,FIP-recognised Algerian national body under which padel is organised.,https://www.padelfip.com/federation/algeria/,https://www.padelfip.com/wp-content/uploads/2025/12/FIP-WPR-2025_DIGITAL.pdf,,FIP official page; FIP World Padel Report,2026-09-22,None material,"Organisation, not a distinct playing location","The FIP 2025 report gives Algeria 4 clubs, 16 courts, 110 licensed players and 2 licensed coaches."
ALG-VEN-001,Algeria,DZA,Area Wellness Club Oran,Club / venue,included,Yes,Multi-source venue verification,High,Active,Oran / Bir El Djir,Oran,"Résidence Hasnaoui, Cité El Ryad, POS 51, Ilot 67, Bir El Djir, Oran",,,Area Wellness Club,https://www.google.com/maps/search/?api=1&query=Area%20Wellness%20Club%20Oran%20Algeria,Live business/map discovery cross-checked with specialist directories,,No verified Yelp listing found; Yelp coverage in Algeria is limited,,,+213 558 80 00 00,,,,,,2,Two indoor padel courts reported,Algerian Federation of Sport for All / national padel ecosystem,"Coaching, recreational play and competitions reported",Padel; fitness/wellness; coaching,Sources vary; directory reports 06:30–22:00 with Friday closure,Established Oran wellness club with two documented padel courts.,https://padellands.com/en/pistas-de-padel/otros-paises/algeria-en/,https://trustpadel.com/country/play-padel-in-algeria/,https://propadel-dz.com/realisations.html,Google Business/Maps; padel directory; installer portfolio,2026-09-22,Opening hours vary by source,,No public email found in reviewed sources.
ALG-VEN-002,Algeria,DZA,Central Padel,Club / venue,included,Yes,Official website plus live Google Business and directories,High,Active; launch-phase information remains online,Oran / Bir El Djir,Oran,"Haï Riyadh, Ilot 80, Résidence 115 Logts, Bloc O, Lot 226, Local 01, Bir El Djir, Oran",35.7088309,-0.5584116,CENTRAL PADEL,https://www.google.com/maps/search/?api=1&query=CENTRAL%20PADEL%20Oran%20Algeria,Live Google Business listing found and checked,,No verified Yelp listing found; Yelp coverage in Algeria is limited,https://centralpadeldz.com/,,+213 770 05 95 21,,https://www.instagram.com/centralpadel.dz/,,,,9–10,Padel Lands reports 9 courts; official Instagram/search material reports 10 FIP-standard courts,Algerian national padel ecosystem,Soft opening reported July 2025; events and opening activity promoted,Padel court hire; training; events,See official site / Google Business,Large dedicated padel complex in Bir El Djir.,https://centralpadeldz.com/,https://padellands.com/en/pistas-de-padel/otros-paises/algeria-en/,https://www.instagram.com/centralpadel.dz/,Official website; Google Business/Maps; directory; official social,2026-09-22,Court count is 9 in Padel Lands and 10 in official promotional material; TrustPadel status conflicts with live Google/official activity,,Treat as active based on current first-party and live business evidence; confirm court inventory directly before commercial use.
ALG-VEN-003,Algeria,DZA,Vibora Padel Club,Club / venue,included,Yes,Live Google Business plus official social profile,High,Active,Oran / Bir El Djir,Oran,"Plus code PC6V+3CV, Hasnaoui, Oran",35.7102482,-0.5564672,Vibora padel club,https://www.google.com/maps/search/?api=1&query=Vibora%20Padel%20Club%20Oran%20Algeria,Live Google Business listing found and checked,,No verified Yelp listing found; Yelp coverage in Algeria is limited,,,+213 550 33 23 17,,https://www.instagram.com/vibora.padelclub/,,,,,Court count not found in reviewed public sources,Operates under / promotes the Fédération Nationale du Sport Pour Tous,Reported first 20 official padel licences in Algeria,Padel; coaching; player licensing/community development,See Google Business / official social,Oran padel club associated publicly with Algeria's sport-for-all federation.,https://www.instagram.com/vibora.padelclub/,https://www.padelfip.com/federation/algeria/,,Google Business/Maps; official social; federation cross-check,2026-09-22,No material conflict,,No public email or dedicated website found.
ALG-VEN-004,Algeria,DZA,Akhy Padel Indoor,Club / venue,included,Yes,Live Google Business listing,Medium-high,Active,Rouiba,Algiers,"10 Rue Hassiba Ben Bouali, Rouiba, Algiers",36.7374735,3.2803725,Akhy padel indoor,https://www.google.com/maps/search/?api=1&query=Akhy%20Padel%20Indoor%20Rouiba%20Algeria,Live Google Business category and contact checked,,No verified Yelp listing found; Yelp coverage in Algeria is limited,,,+213 549 42 31 70,,,,,,,Indoor padel venue; court count not publicly verified,Algerian national padel ecosystem,Tournament activity appears in social search results but organiser/date require confirmation,Indoor padel,See Google Business,Dedicated indoor padel venue in Rouiba.,https://www.google.com/maps/search/?api=1&query=Akhy%20Padel%20Indoor%20Rouiba%20Algeria,,,Google Business/Maps,2026-09-22,None identified,,"No independently verified email, website or social handle found."
ALG-VEN-005,Algeria,DZA,OXYGÉN ARENA,Multi-sport venue with padel,included,Yes,Live Google Business plus mobile-app description,Medium-high,Active,Chéraga / Bouchaoui,Algiers,"Plus code QW87+98, Bouchaoui, Chéraga, Algiers",36.7658958,2.9133348,OXYGÉN ARENA,https://www.google.com/maps/search/?api=1&query=OXYG%C3%89N%20ARENA%20Cheraga%20Algeria,Live Google Business listing and phone checked,,No verified Yelp listing found; Yelp coverage in Algeria is limited,,,+213 560 00 35 35,,,,,,,Padel and football booking are described by the venue app; court count not verified,Algerian national padel ecosystem,,Padel; football; field/court booking,See Google Business / venue app,Active multi-sport arena at the same site as the historical Padel Oxygen listing.,https://www.google.com/maps/search/?api=1&query=OXYG%C3%89N%20ARENA%20Cheraga%20Algeria,https://www.waze.com/live-map/directions?to=place.ChIJi6e4bl6vjxIRV2PZ4e8O2So,,Google Business/Maps; Waze; app-store description,2026-09-22,Google category is generic playground; padel use is established through the venue app,,Confirm number and specification of padel courts directly.
ALG-HIS-001,Algeria,DZA,Padel Oxygen,Historical venue listing,included_historical,No,Live Google Business historical record,High,Permanently closed / superseded,Chéraga / Bouchaoui,Algiers,"No. 61, Bouchaoui 1, Chéraga, Algiers",36.7658960,2.9135153,Padel oxygen,https://www.google.com/maps/search/?api=1&query=Padel%20Oxygen%20Cheraga%20Algeria,Google marks the listing permanently closed,,No verified Yelp listing found; Yelp coverage in Algeria is limited,,,,,,,,,,Historical padel listing; court count not verified,Algerian national padel ecosystem,,Padel,,Historical business listing at effectively the same coordinates as OXYGÉN ARENA.,https://www.google.com/maps/search/?api=1&query=Padel%20Oxygen%20Cheraga%20Algeria,https://www.courtpro.com/clubs/listing/algeria,,Google Business/Maps; CourtPro,2026-09-22,Current active OXYGÉN ARENA listing overlaps the same site,Same physical site as OXYGÉN ARENA; not counted twice,Retained for completeness and name-history matching.
ALG-CAN-001,Algeria,DZA,Wahren Padel Club,Club / venue candidate,needs_confirmation,No,First-party website only; no independent live-map confirmation found,Low-medium,Claimed active,Oran,Oran,"Sheraton area, Oran (full street address not published)",,,,,No matching Google Business record independently confirmed,,No verified Yelp listing found; Yelp coverage in Algeria is limited,https://wahrenpadel.com/padel-a-oran/,,,,,,,,,Website describes indoor and outdoor padel but gives no independently verified court count,,Coaching and events claimed,Padel; coaching; events,,Website-led Oran padel proposition requiring direct confirmation.,https://wahrenpadel.com/padel-a-oran/,,,First-party website,2026-09-22,No independent business/map verification,Not counted until address and operation are independently confirmed,Contact details were not reliably visible in reviewed indexed material.
ALG-CAN-002,Algeria,DZA,Padel One,Club / venue candidate,needs_confirmation,No,Sparse Google Business result with implausible/centroid pin,Low,Unknown,Unknown,Unknown,No reliable street address published,28.0948735,1.6654443,Padel One,https://www.google.com/maps/search/?api=1&query=Padel%20One%20Algeria,"Google result found, but location appears to be Algeria's geographic centre rather than a venue",,No verified Yelp listing found; Yelp coverage in Algeria is limited,,,,,,,,,,Not verified,,,Padel claimed by listing name only,,Sparse business record with no usable address or corroborating source.,https://www.google.com/maps/search/?api=1&query=Padel%20One%20Algeria,,,Google Business/Maps,2026-09-22,Map pin is likely erroneous,"Not counted; identity, address and operation unverified",Retained as a lead for future manual verification.
ALG-CAN-003,Algeria,DZA,Unnamed CourtPro listing – Djaafra,Unverified directory candidate,needs_confirmation,No,Single directory record only,Low,Unknown,Djaafra,Bordj Bou Arréridj,"Plus code 7PC8+377, Djaafra",,,,,No independently confirmed Google Business padel venue,,No verified Yelp listing found,,,,,,,,,,Not verified,,,Sport type not independently verified,,Directory-only record without a venue name.,https://www.courtpro.com/clubs/listing/algeria,,,CourtPro directory,2026-09-22,No corroboration,Not counted; unnamed and unverified,May be a miscoded general sports site.
