record_id,country,entity_name,entity_type,status,city_or_area,province,address,courts,court_detail,website_or_booking_url,phone,email,instagram,facebook,activities_or_facilities,opening_hours,google_business_check,google_maps_url,yelp_check,primary_source_url,secondary_source_url,verification_level,last_verified_utc,notes
AGO-ORG-001,Angola,Associação Provincial de Padel de Luanda (APPL),Provincial association / competition organiser,Active,Luanda,Luanda,,,"Organisation, not a court venue",https://www.appl.ao/,,,,,"Player federation, coach/referee accreditation and competition development",,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Associacao%20Provincial%20de%20Padel%20de%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://www.appl.ao/associacao/mensagem,,Official first-party source,2026-09-22,Founded in 2025 with three Luanda clubs; described as the first step towards a future Angolan national federation.
AGO-VEN-001,Angola,Padel4um / Clube Padel Hotel Fórum,Club / venue,Active,"Alvalade, Luanda",Luanda,"Hotel Fórum, Travessa Ho Chi Minh, Alvalade, Luanda",2,Outdoor courts with Mondo WPT surface,https://www.padel4um.ao/,+244 933 233 556; +244 933 233 555; reservations +244 926 323 261,padel4um@padel4all.ao,,,"Padel, coaching, children's lessons from age 6, tournaments, internal leagues, equipment hire and shop",Mon–Sat 08:00–22:00,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Padel4um%20Hotel%20Forum%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://www.padel4um.ao/clube,https://padelpush.co/padel-clubs/angola/luanda,Official first-party source plus specialist directory,2026-09-22,PadelPush lists the same site as Clube Padel Hotel Fórum; treated as one venue.
AGO-VEN-002,Angola,Baía Padel Club,Club / venue,Active,Baía de Luanda,Luanda,"Baía de Luanda, Avenida 4 de Fevereiro, Luanda",2,Padel courts,https://www.tiepadel.com/BaiaPadelClub,,,,,"Cafeteria, changing rooms, accessible facilities, parking, equipment hire, restaurant, shop and Wi-Fi",Daily 05:00–00:00,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Baia%20Padel%20Club%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://www.tiepadel.com/BaiaPadelClub,https://do-padel.com/dopadel/clubs/angola/luanda/luanda,Booking platform plus specialist directory,2026-09-22,
AGO-VEN-003,Angola,Casa de Padel Angola (CDP),Club / venue,Active,Luanda,Luanda,"Complexo Desportivo, Rua Deolinda Rodrigues S/N°, Luanda, 3649",6,Six outdoor panoramic doubles courts listed by Playtomic,https://playtomic.com/clubs/casa-de-padel-angola-cdp,,,,,Padel and tennis,Daily 07:00–00:00,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Casa%20de%20Padel%20Angola%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://playtomic.com/clubs/casa-de-padel-angola-cdp,https://do-padel.com/dopadel/clubs/angola/luanda/luanda,Live booking platform plus specialist directory,2026-09-22,"PadelNPlay reports five courts, while Playtomic exposes six named courts; six retained with conflict noted."
AGO-VEN-004,Angola,Clube Desportivo Miramax,Multi-sport club / padel venue,Active,"Miramar, Luanda",Luanda,"Rua Houari Boumediene 132, Miramar, Luanda",4,Padel courts,https://playtomic.com/clubs/clube-desportivo-miramax,,,,,"Padel, football, cafeteria, changing rooms, parking, lockers, equipment hire and playpark",Daily 06:00–22:00,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Clube%20Desportivo%20Miramax%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://do-padel.com/dopadel/clubs/angola/luanda/luanda,https://playtomic.com/clubs/clube-desportivo-miramax,Directory plus booking platform,2026-09-22,
AGO-VEN-005,Angola,KOOL PADEL,Club / venue,Active,"Lar do Patriota, Luanda",Luanda,"Rua 4, Lar do Patriota, Luanda",8,Padel courts,https://playtomic.com/clubs/kool-padel,,,,,"Cafeteria, changing rooms, accessible facilities, parking, lockers, equipment hire and playpark",Mon–Thu 06:00–22:00; Fri–Sun 06:00–23:00,Waze result found; no individual Google Business record verified within the cap,https://www.google.com/maps/search/?api=1&query=KOOL%20PADEL%20Lar%20do%20Patriota%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://do-padel.com/dopadel/clubs/angola/luanda/luanda,https://www.waze.com/live-map/directions/kool-padel-lar-do-patriota?to=place.w.8652462.86459089.11111272,"Directory, booking and map source",2026-09-22,
AGO-VEN-006,Angola,Padel da Villa,Club / venue,Active,"Talatona, Luanda",Luanda,"Condomínio Vila Araújo, Talatona, Luanda",2,Padel courts,https://playtomic.com/clubs/padel-da-villa,,,,,"Cafeteria, changing rooms, accessible facilities, parking, lockers, equipment hire, playpark and restaurant",Daily 06:00–23:00,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Padel%20da%20Villa%20Talatona%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://do-padel.com/dopadel/clubs/angola/luanda/luanda,https://playtomic.com/clubs/padel-da-villa,Directory plus booking platform,2026-09-22,
AGO-VEN-007,Angola,Padel Mania CTL,Club / venue,Active,"Ingombotas, Luanda",Luanda,"Rua Frederico das Necessidades Branco, Ingombotas, Luanda",2,Padel courts,https://playtomic.com/clubs/padel-mania-ctl,,,,,"Cafeteria, changing rooms, parking, equipment hire, restaurant and Wi-Fi",Daily 06:00–00:00,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Padel%20Mania%20CTL%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://do-padel.com/dopadel/clubs/angola/luanda/luanda,https://playtomic.com/clubs/padel-mania-ctl,Directory plus booking platform,2026-09-22,
AGO-VEN-008,Angola,Padel Park Luanda,Club / venue,Active,"Talatona, Luanda",Luanda,"Talatona Shopping, Talatona, Luanda",6,Outdoor courts,https://padelpark-luanda.com/,+351 962 862 730,eduardo.silva@padelpark-luanda.com,,,"Cafeteria, changing rooms, parking, equipment hire, restaurant, snack bar and shop",Daily 06:00–22:30,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Padel%20Park%20Luanda%20Talatona,Yelp inaccessible to automated review and no verified listing found,https://padelpark-luanda.com/,https://playtomic.com/clubs/padel-park-luanda,"Official website, booking platform and directory",2026-09-22,
AGO-VEN-009,Angola,PREMIER PADEL CLUB Standard Bank,Club / venue,Active,"Talatona, Luanda",Luanda,"Rua AL 41, Talatona, junto ao Condomínio Kizomba, Luanda",8,Eight ultra-panoramic courts with Mondo flooring,https://playtomic.com/clubs/premier-padel-club-standard-bank,+244 925 012 025; tournament contact +244 924 265 421,,,,"Padel, tournaments, cafeteria, changing rooms, parking, lockers, hire, restaurant, snack bar and shop",Daily 06:00–00:00; holidays 08:00–22:30,No individual Google Business result verified within the five-minute cap,https://www.google.com/maps/search/?api=1&query=Premier%20Padel%20Club%20Standard%20Bank%20Luanda,Yelp inaccessible to automated review and no verified listing found,https://do-padel.com/dopadel/clubs/angola/luanda/luanda/premier-standard-bank%3Aluanda%3Aangola,https://check-in.ao/events/standard-bank-padel-open-2026,"Directory, booking platform and event organiser",2026-09-22,Hosted the 2026 Standard Bank Padel Open.
